timestamp,S1,S2
1.64000,8.35E-02,7.43E-02
1.65000,9.07E-02,7.88E-02
1.66000,-8.11E-02,2.21E-01
1.67000,1.52E-01,6.20E-03
1.68000,1.77E-01,-1.29E-02
1.69000,5.66E-02,2.27E-02
1.70000,-8.75E-02,5.00E-02
1.71000,-9.05E-02,1.73E-01
1.72000,9.74E-02,-3.16E-03
1.73000,8.43E-02,5.07E-02
1.74000,5.10E-02,1.14E-01
1.75000,-5.83E-02,1.28E-01
1.76000,6.52E-02,9.49E-02
1.77000,1.55E-01,5.08E-03
1.78000,1.79E-01,-4.10E-02
1.79000,1.84E-02,1.09E-01
1.80000,-1.25E-01,-2.71E-02
1.81000,-2.91E-02,1.14E-01
1.82000,-3.43E-02,2.10E-01
1.83000,1.94E-01,1.20E-01
1.84000,-1.26E-02,-3.08E-02
1.85000,2.29E-02,3.46E-02
1.86000,1.23E-01,8.25E-02
1.87000,2.07E-01,5.78E-02
1.88000,-9.26E-03,2.30E-02
1.89000,-6.95E-02,1.27E-01
1.90000,-5.15E-02,-3.35E-02
1.91000,2.63E-02,4.85E-02
1.92000,-1.00E-02,1.70E-01
1.93000,1.19E-01,9.68E-02
1.94000,1.35E-01,5.52E-02
1.95000,3.68E-02,4.66E-02
1.96000,1.03E-01,4.77E-02
1.97000,1.47E-02,7.36E-02
1.98000,-7.62E-02,6.79E-02
1.99000,-2.95E-02,4.36E-02
2.00000,1.46E-01,2.68E-02
2.01000,6.93E-02,4.14E-02
2.02000,-7.76E-03,1.41E-01
2.03000,8.92E-02,1.36E-01
2.04000,8.32E-02,7.73E-02
2.05000,-9.16E-02,3.31E-02
2.06000,-5.08E-02,9.61E-04
2.07000,2.79E-01,2.30E-02
2.08000,8.39E-02,9.23E-02
2.09000,-4.63E-02,7.77E-02
2.10000,3.09E-03,3.35E-02
2.11000,-8.34E-02,1.44E-01
2.12000,-2.15E-03,1.26E-01
2.13000,2.16E-01,-5.03E-03
2.14000,1.59E-01,5.11E-02
2.15000,-5.94E-02,6.53E-02
2.16000,-4.93E-02,2.12E-02
2.17000,9.14E-02,7.09E-02
2.18000,3.83E-02,1.47E-01
2.19000,1.49E-01,1.04E-01
2.20000,6.09E-03,-1.27E-01
2.21000,-1.17E-01,1.63E-01
2.22000,-6.80E-02,5.30E-02
2.23000,1.47E-01,9.75E-02
2.24000,1.95E-01,1.37E-01
2.25000,3.47E-03,5.93E-02
2.26000,9.03E-02,-2.78E-03
2.27000,8.50E-02,4.74E-02
2.28000,-6.09E-02,7.99E-02
2.29000,-1.35E-01,5.07E-02
2.30000,-1.40E-03,2.15E-02
2.31000,3.39E-01,5.37E-02
2.32000,5.36E-02,1.24E-01
2.33000,-1.71E-02,1.22E-01
2.34000,-8.63E-02,1.63E-01
2.35000,-6.20E-02,2.15E-02
2.36000,2.37E-02,-3.20E-02
2.37000,2.21E-01,9.19E-03
2.38000,2.76E-01,3.28E-02
2.39000,2.33E-02,9.60E-02
2.40000,-1.83E-01,1.04E-01
2.41000,-5.79E-02,9.83E-02
2.42000,-1.17E-01,1.17E-01
2.43000,2.04E-01,8.18E-02
2.44000,2.09E-01,-4.51E-02
2.45000,8.47E-02,9.34E-02
2.46000,1.81E-02,1.03E-01
2.47000,-2.95E-02,3.50E-02
2.48000,-2.57E-02,8.22E-02
2.49000,-9.72E-02,5.48E-02
2.50000,9.18E-02,2.46E-03
2.51000,3.79E-01,3.31E-02
2.52000,-2.19E-01,1.32E-01
2.53000,-7.85E-02,1.31E-01
2.54000,2.49E-01,8.18E-02
2.55000,7.23E-02,7.77E-02
2.56000,4.84E-02,4.33E-03
2.57000,-9.27E-02,-1.25E-02
2.58000,-3.73E-02,6.12E-02
2.59000,5.32E-02,8.40E-02
2.60000,1.25E-01,8.74E-02
2.61000,1.08E-01,1.32E-01
2.62000,-2.50E-02,1.24E-01
2.63000,7.94E-02,-3.95E-02
2.64000,-3.64E-03,3.76E-02
2.65000,1.68E-01,1.20E-01
2.66000,-5.51E-03,1.21E-01
2.67000,-1.51E-01,-7.16E-02
2.68000,3.47E-03,5.48E-02
2.69000,1.37E-01,1.39E-01
2.70000,2.77E-01,1.51E-01
2.71000,2.63E-02,-2.94E-02
2.72000,-2.09E-01,8.89E-02
2.73000,-6.61E-02,1.01E-01
2.74000,2.83E-01,-4.13E-02
2.75000,4.50E-02,7.73E-02
2.76000,-6.09E-02,1.73E-01
2.77000,2.11E-02,4.06E-02
2.78000,8.24E-02,-2.41E-03
2.79000,1.23E-01,6.61E-02
2.80000,9.33E-02,1.49E-01
2.81000,-2.27E-02,1.97E-02
2.82000,-5.00E-02,-3.16E-03
2.83000,-7.25E-02,1.24E-01
2.84000,1.30E-01,8.70E-02
2.85000,2.11E-02,8.25E-02
2.86000,9.52E-02,9.19E-02
2.87000,2.60E-01,-3.42E-02
2.88000,2.72E-03,8.52E-02
2.89000,-1.75E-01,1.39E-01
2.90000,-4.86E-02,4.70E-03
2.91000,6.93E-02,2.12E-02
2.92000,1.12E-01,8.59E-02
2.93000,1.31E-01,9.08E-02
2.94000,-1.08E-02,7.43E-02
2.95000,5.10E-02,6.31E-02
2.96000,1.39E-02,1.03E-01
2.97000,1.74E-01,3.88E-02
2.98000,-2.16E-02,4.62E-02
2.99000,-9.12E-02,9.19E-02
3.00000,-1.60E-02,8.82E-03
3.01000,1.03E-01,1.00E-01
3.02000,4.13E-02,7.47E-02
3.03000,1.02E-01,6.64E-02
3.04000,9.70E-02,5.71E-02
3.05000,1.69E-01,3.76E-02
3.06000,-3.62E-02,1.26E-02
3.07000,-1.25E-01,1.41E-01
3.08000,-9.83E-02,1.47E-01
3.09000,1.05E-01,-3.42E-02
3.10000,1.19E-01,1.08E-01
3.11000,1.26E-01,1.28E-01
3.12000,-1.64E-02,-3.05E-02
3.13000,1.40E-01,4.70E-02
3.14000,9.85E-02,5.56E-02
3.15000,1.24E-02,5.07E-02
3.16000,-9.50E-02,1.17E-01
3.17000,-1.14E-01,5.15E-02
3.18000,-6.95E-02,2.98E-02
3.19000,2.92E-01,1.24E-01
3.20000,1.58E-01,1.24E-01
3.21000,1.51E-02,7.17E-02
3.22000,1.63E-01,1.03E-01
3.23000,-2.76E-02,-1.45E-01
3.24000,-1.07E-01,1.42E-01
3.25000,-9.01E-02,4.25E-02
3.26000,8.28E-02,1.74E-02
3.27000,1.92E-02,1.21E-01
3.28000,7.42E-02,8.10E-02
3.29000,1.67E-01,1.43E-01
3.30000,1.46E-01,2.21E-01
3.31000,1.08E-01,-1.17E-01
3.32000,3.15E-02,-3.05E-02
3.33000,-2.25E-01,9.86E-02
3.34000,-1.84E-01,1.37E-02
3.35000,2.37E-01,8.70E-02
3.36000,1.12E-01,6.42E-02
3.37000,-1.30E-02,1.66E-01
3.38000,1.53E-01,1.31E-01
3.39000,9.40E-02,-6.90E-03
3.40000,5.96E-02,7.73E-02
3.41000,6.67E-02,1.08E-01
3.42000,-5.83E-02,-7.09E-02
3.43000,-1.89E-01,-5.03E-03
3.44000,-2.05E-02,8.10E-02
3.45000,2.15E-01,1.45E-01
3.46000,1.49E-01,1.44E-01
3.47000,9.89E-02,7.99E-02
3.48000,2.48E-02,5.45E-03
3.49000,2.72E-03,7.73E-02
3.50000,3.12E-02,6.27E-02
3.51000,-5.08E-02,7.77E-02
3.52000,2.33E-02,-1.14E-02
3.53000,1.28E-02,1.93E-02
3.54000,7.12E-02,1.16E-01
3.55000,1.61E-01,9.56E-02
3.56000,1.88E-02,1.19E-01
3.57000,-6.46E-02,8.82E-02
3.58000,9.33E-02,2.53E-02
3.59000,8.39E-02,1.71E-02
3.60000,5.14E-02,3.88E-02
3.61000,8.13E-02,9.75E-02
3.62000,-2.12E-02,6.38E-02
3.63000,-1.19E-01,6.38E-02
3.64000,4.69E-02,9.38E-02
3.65000,1.68E-01,9.19E-02
3.66000,1.09E-01,5.22E-02
3.67000,-5.57E-02,3.54E-02
3.68000,1.24E-01,1.97E-02
3.69000,2.18E-02,1.31E-01
3.70000,-1.34E-02,5.04E-02
3.71000,-9.38E-02,5.26E-02
3.72000,1.61E-01,6.79E-02
3.73000,1.21E-01,-7.65E-03
3.74000,-2.12E-02,1.05E-01
3.75000,1.60E-03,1.71E-01
3.76000,9.44E-02,-4.84E-02
3.77000,1.69E-02,1.42E-01
3.78000,5.34E-03,7.02E-02
3.79000,1.26E-01,4.51E-02
3.80000,7.91E-02,-1.14E-02
3.81000,-1.70E-01,8.22E-02
3.82000,1.71E-01,8.89E-02
3.83000,9.96E-02,1.00E-01
3.84000,-2.46E-01,5.93E-02
3.85000,1.63E-01,3.35E-02
3.86000,2.65E-01,1.05E-01
3.87000,-5.14E-03,2.08E-02
3.88000,7.53E-02,5.75E-02
3.89000,-1.31E-01,1.59E-01
3.90000,-2.87E-02,-4.77E-02
3.91000,1.69E-02,7.92E-02
3.92000,9.70E-02,1.04E-01
3.93000,1.74E-01,-1.62E-04
3.94000,4.35E-02,1.08E-01
3.95000,-1.30E-02,8.70E-02
3.96000,1.02E-01,1.22E-01
3.97000,1.28E-02,6.23E-02
3.98000,-9.79E-02,-1.96E-02
3.99000,6.46E-03,2.83E-03
4.00000,3.34E-02,7.99E-02
4.01000,1.59E-01,5.45E-02
4.02000,1.91E-01,1.79E-01
4.03000,-5.94E-02,7.17E-02
4.04000,-7.55E-02,6.53E-02
4.05000,7.87E-02,3.02E-02
4.06000,1.58E-01,1.41E-02
4.07000,-4.59E-02,5.11E-02
4.08000,-8.07E-02,4.55E-02
4.09000,1.23E-01,9.79E-02
4.10000,6.15E-02,1.46E-01
4.11000,-1.41E-02,6.79E-02
4.12000,1.68E-01,5.26E-02
4.13000,3.75E-02,4.70E-02
4.14000,1.96E-02,1.03E-02
4.15000,3.30E-02,9.04E-02
4.16000,-5.04E-02,1.04E-01
4.17000,2.37E-02,5.08E-03
4.18000,8.92E-02,6.05E-02
4.19000,9.55E-02,7.51E-02
4.20000,9.83E-03,1.06E-01
4.21000,-2.57E-02,1.06E-01
4.22000,2.48E-02,4.06E-02
4.23000,2.46E-01,5.71E-02
4.24000,3.49E-02,1.07E-02
